OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
1,2,Colston Avenue,2024,10,"2010: 79.4, 2011: 78.8, 2012: 66.8, 2013: 68.7, 2014: 67.7, 2015: 69.2, 2016: 66.1, 2017: 63.1, 2018: 58.2, 2019: 53.7, 2020: 36.9, 2021: 40.1, 2022: 40.3, 2023: 39, 2024: 38.4",38.4,38.4,Roadside (DT),Yes,-289075.818144399,6702097.12495681
2,3,Blackboy Hill,2024,12,"2010: 46, 2011: 36.6, 2012: 37.7, 2013: 41.2, 2014: 36.3, 2015: 37.9, 2016: 37.6, 2017: 34.4, 2018: 34.4, 2019: 27.7, 2020: 28.7, 2021: 44.4, 2022: 38.8, 2023: 47.7, 2024: 29",29,29,Roadside (DT),Yes,-290988.19933068,6704714.42467723
3,4,Three Lamps,2024,12,"2010: 62.3, 2011: 59.8, 2012: 58.4, 2013: 60.6, 2014: 55.8, 2015: 53.3, 2016: 55.2, 2017: 52.7, 2018: 53.5, 2019: 41, 2020: 36.8, 2021: 38.9, 2022: 38.4, 2023: 29.3, 2024: 30.7",30.7,30.7,Roadside (DT),Yes,-287018.565739922,6700248.9656145
4,5,Bedminster Parade,2024,12,"2010: 66.6, 2011: 57.2, 2012: 54.6, 2013: 58.7, 2014: 47.6, 2015: 50.9, 2016: 51.3, 2017: 45.8, 2018: 45.8, 2019: 39.9, 2020: 31.6, 2021: 41, 2022: 37.9, 2023: 33.5, 2024: 34.9",34.9,34.9,Roadside (DT),Yes,-288906.606435902,6699999.33324423
5,10,Bath Road,2024,12,"2010: 68.2, 2011: 62.3, 2012: 58.4, 2013: 61.5, 2014: 50.1, 2015: 49.3, 2016: 54.5, 2017: 51.6, 2018: 51.5, 2019: 42.2, 2020: 33.6, 2021: 36.8, 2022: 35.9, 2023: 30.7, 2024: 30.3",30.3,30.3,Roadside (DT),Yes,-284908.842563162,6699589.32161916
6,11,Whitefriars,2024,12,"2010: 60.8, 2011: 56.1, 2012: 53.2, 2013: 56.3, 2014: 48.8, 2015: 51.4, 2016: 51.7, 2017: 49.2, 2018: 48.1, 2019: 41.1, 2020: 31.1, 2021: 35, 2022: 35.3, 2023: 29.6, 2024: 29.4",29.4,29.4,Roadside (DT),Yes,-288783.750004099,6702631.21072234
7,12,Galleries,2024,11,"2010: 58.2, 2011: 55.2, 2012: 50.8, 2013: 56.7, 2014: 51.3, 2015: 52.5, 2016: 52.8, 2017: 56.6, 2018: 57.5, 2019: 51.8, 2020: 41.9, 2021: 46.5, 2022: 50.2, 2023: 60.2, 2024: 35.3",35.3,35.3,Roadside (DT),Yes,-288254.965440197,6702425.05893974
8,14,Red Lion Knowle,2024,12,"2010: 47.9, 2011: 44.1, 2012: 43.2, 2013: 42.2, 2014: 40.4, 2015: 40.1, 2016: 42.3, 2017: 41.1, 2018: 47.6, 2019: 38.7, 2020: 32.4, 2021: 32.7, 2022: 30.3, 2023: 27, 2024: 25.8",25.8,25.8,Roadside (DT),Yes,-285439.186904326,6697740.37180987
9,15,Horsefair,2024,12,"2010: 54.7, 2011: 50.9, 2012: 49.5, 2013: 53.6, 2014: 48.6, 2015: 50.8, 2016: 51.2, 2017: 49.4, 2018: 47.5, 2019: 42.2, 2020: 28.2, 2021: 31.5, 2022: 31.3, 2023: 26.4, 2024: 25.9",25.9,25.9,Roadside (DT),Yes,-288014.971267504,6702867.14929257
10,16,Third Way,2024,12,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5, 2024: 21.5",21.5,21.5,Roadside (DT),No,-299319.725243601,6711147.03571026
11,21,Gloucester Road,2024,12,"2010: 50.1, 2011: 44.5, 2012: 43.1, 2013: 52, 2014: 50.4, 2015: 51.6, 2016: 50.2, 2017: 49.3, 2018: 46.4, 2019: 38.3, 2020: 33.4, 2021: 34.9, 2022: 34, 2023: 30.9, 2024: 33",33,33,Roadside (DT),Yes,-288453.491473036,6705789.48523368
12,22,Stokes Croft,2024,9,"2010: 68.2, 2011: 58.7, 2012: 55.3, 2013: 57.7, 2014: 55.3, 2015: 49.7, 2016: 54.4, 2017: 52.5, 2018: 51, 2019: 44.3, 2020: 34.3, 2021: 37.5, 2022: 36.7, 2023: 35.9, 2024: 34.4",34.4,34.4,Roadside (DT),Yes,-288316.547788833,6703508.93195795
13,113,Victoria Street,2024,10,"2010: 53.9, 2011: 55.2, 2012: 51.8, 2013: 48.4, 2014: 48.8, 2015: 47.5, 2016: 45.5, 2017: 49.9, 2018: 40.5, 2019: 37.4, 2020: 29.9, 2021: 27.8, 2022: 32, 2023: 29.4, 2024: 28.3",28.3,28.3,redcliffe way templegate (DT),No,-288062.502763533,6701599.37177948
14,125,York Road,2024,12,"2010: 72.8, 2011: 66.5, 2012: 63, 2013: 59.6, 2014: 53.3, 2015: 52.9, 2016: 52.9, 2017: 56, 2018: 50.3, 2019: 45.2, 2020: 35.6, 2021: 35.8, 2022: 33.6, 2023: 24.3, 2024: 19.7",19.7,19.7,redcliffe way templegate (DT),Yes,-288122.962480237,6700347.74496852
15,147,Anchor Road,2024,12,"2010: 65.6, 2011: 66.4, 2012: 60.6, 2013: 60.2, 2014: 57, 2015: 60.1, 2016: 56.9, 2017: 61.5, 2018: 56.6, 2019: 50.9, 2020: 39.4, 2021: 43.3, 2022: 45.5, 2023: 39.5, 2024: 36.3",36.3,36.3,harbourside (DT),Yes,-289254.257300207,6701581.66334233
16,154,Hotwells Road,2024,12,"2010: 54.7, 2011: 40.9, 2012: 40.3, 2013: 44.3, 2014: 38.5, 2015: 37.2, 2016: 39.6, 2017: 38.5, 2018: 36.2, 2019: 30, 2020: 22.1, 2021: 25.4, 2022: 26.1, 2023: 17.8, 2024: 17.5",17.5,17.5,harbourside (DT),Yes,-290714.010739251,6701235.48836649
17,155,Jacobs Wells Road South,2024,12,"2010: 47.4, 2011: 52.4, 2012: 46.9, 2013: 48.5, 2014: 38.8, 2015: 39.9, 2016: 43.1, 2017: 37.9, 2018: 40.1, 2019: 31.1, 2020: 22.9, 2021: 25.5, 2022: 24.2, 2023: 17.5, 2024: 15.2",15.2,15.2,harbourside (DT),Yes,-290337.435875919,6701608.05267219
18,156,Jacobs Wells road opp Clifton hill,2024,12,"2010: 56.1, 2011: 49.1, 2012: 45.8, 2013: 44.2, 2014: 38, 2015: 38.9, 2016: 41.2, 2017: 39.3, 2018: 36.2, 2019: 30.5, 2020: 20.7, 2021: 24.9, 2022: 25.9, 2023: 19.1, 2024: 17.7",17.7,17.7,harbourside (DT),Yes,-290548.152178807,6702096.20398506
19,157,Stokes Croft  Ashley Road,2024,12,"2010: 64.9, 2011: 61.8, 2012: 55.9, 2013: 56, 2014: 51.4, 2015: 53.3, 2016: 52.8, 2017: 48.6, 2018: 45.4, 2019: 43.1, 2020: 35.7, 2021: 40.3, 2022: 35, 2023: 35.2, 2024: 33.7",33.7,33.7,gloucester road showcase route (DT),Yes,-288303.158453479,6703836.78908709
20,159,Cromwell Road,2024,12,"2010: 53.6, 2011: 48.9, 2012: 49.7, 2013: 49, 2014: 44.5, 2015: 44.1, 2016: 44.8, 2017: 42, 2018: 43.3, 2019: 35.8, 2020: 28.5, 2021: 31.9, 2022: 32.1, 2023: 28.9, 2024: 28.2",28.2,28.2,gloucester road showcase route (DT),Yes,-288675.219320107,6704666.05891095
21,161,Bishop Road,2024,11,"2010: 52.9, 2011: 47.4, 2012: 41.6, 2013: 41.8, 2014: 41.3, 2015: 43.7, 2016: 41.7, 2017: 38.8, 2018: 38, 2019: 31.7, 2020: 25.3, 2021: 27.4, 2022: 26, 2023: 25.6, 2024: 26.5",26.5,26.5,gloucester road showcase route (DT),Yes,-288271.484099739,6706477.18610887
22,163,Strathmore Road,2024,12,"2010: 44.8, 2011: 38.3, 2012: 38.8, 2013: 43, 2014: 39.1, 2015: 37, 2016: 39.7, 2017: 38, 2018: 36.6, 2019: 30.8, 2020: 24.5, 2021: 27.4, 2022: 27.2, 2023: 27.2, 2024: 25.7",25.7,25.7,gloucester road showcase route (DT),Yes,-287828.657779616,6707832.48413925
23,175,top of Brislington Hill,2024,12,"2010: 57.9, 2011: 56.3, 2012: 54.7, 2013: 55.3, 2014: 51.7, 2015: 52.9, 2016: 56.5, 2017: 54, 2018: 54.9, 2019: 44.6, 2020: 36.4, 2021: 41.4, 2022: 38.7, 2023: 30.4, 2024: 30.3",30.3,30.3,bath road showcase route (DT),Yes,-283408.629887594,6698149.144355
24,239,Parson St. A38 East,2024,12,"2010: 81.3, 2011: 82, 2012: 76.9, 2013: 78, 2014: 65.4, 2015: 69.2, 2016: 68.9, 2017: 66.8, 2018: 65.2, 2019: 54.4, 2020: 47.6, 2021: 51.4, 2022: 48.6, 2023: 40.5, 2024: 38.1",38.1,38.1,Roadside Stage 4 (DT),Yes,-290240.840052813,6698064.71461172
25,242,Parson Street Bedminster Down Road,2024,11,"2010: 80.3, 2011: 75.5, 2012: 73.9, 2013: 75.1, 2014: 56.2, 2015: 61.7, 2016: 68.4, 2017: 56, 2018: 51.1, 2019: 41, 2020: 32.2, 2021: 34.5, 2022: 36.6, 2023: 29.8, 2024: 28",28,28,Roadside Stage 4 (DT),Yes,-290831.882346175,6697891.20245718
26,254,Merchants Road Hotwells,2024,11,"2010: 47.1, 2011: 55.6, 2012: 55.3, 2013: 53.2, 2014: 51.5, 2015: 54.4, 2016: 51.8, 2017: 52.2, 2018: 49.4, 2019: 40.5, 2020: 31.1, 2021: 34.6, 2022: 33, 2023: 24.7, 2024: 23.9",23.9,23.9,Roadside Stage 4 (DT),Yes,-291486.964634959,6701142.24890875
27,260,Stapleton Road South,2024,12,"2010: 52.9, 2011: 52.8, 2012: 45.8, 2013: 46.5, 2014: 46.3, 2015: 45.6, 2016: 45.4, 2017: 42.6, 2018: 43.1, 2019: 36.2, 2020: 29.5, 2021: 33.2, 2022: 31.6, 2023: 26.5, 2024: 26",26,26,Roadside Stage 4 (DT),Yes,-285080.464366343,6705912.52183786
28,261,Stapleton Road Heath Street,2024,12,"2010: 55.8, 2011: 48.2, 2012: 53, 2013: 55.8, 2014: 50.6, 2015: 51.3, 2016: 53.1, 2017: 52.4, 2018: 51, 2019: 41.5, 2020: 34.7, 2021: 39.1, 2022: 39.3, 2023: 32, 2024: 33",33,33,Roadside Stage 4 (DT),Yes,-285135.992821959,6705418.74590538
