count_point_id,direction_of_travel,year,count_date,hour,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6401,S,2015,13/07/2023,16,A38,Major,Parson St,A370 roundabout,358000,171000,51.4364293,-2.60561416,2.1,1.3,16,5,297,15,81,13,1,2,0,0,0,16,414
6401,N,2015,13/07/2023,11,A38,Major,Parson St,A370 roundabout,358000,171000,51.4364293,-2.60561416,2.1,1.3,5,1,281,22,69,5,0,3,1,1,1,11,384
6401,S,2015,13/07/2023,14,A38,Major,Parson St,A370 roundabout,358000,171000,51.4364293,-2.60561416,2.1,1.3,8,6,267,21,61,4,1,0,0,0,0,5,360
6401,S,2023,13/07/2023,10,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,4,13,182,18,63,3,2,0,0,0,0,5,281
6401,N,2023,13/07/2023,10,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,10,16,238,22,67,5,1,0,0,1,0,7,350
6401,S,2023,13/07/2023,7,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,12,1,141,11,40,3,0,0,0,0,0,3,196
6401,N,2023,13/07/2023,8,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,40,9,308,16,82,3,2,2,0,1,0,8,423
6401,S,2023,13/07/2023,18,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,32,23,270,22,31,0,0,0,0,0,0,0,346
6401,S,2023,13/07/2023,16,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,10,12,363,17,92,4,0,0,0,0,0,4,488
6401,S,2023,13/07/2023,12,A38,Major,Parson St,A370 roundabout,358006,171006,51.43648369,-2.60552855,2.4,1.49,10,12,182,17,63,4,0,0,0,0,0,4,278
