,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
26,1559,26610931,361162.02,171571.83,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,deciduous,10.0,53.33333333333333,17.01027042698779
27,1560,26610932,361173.4,171565.53,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,deciduous,10.0,53.33333333333333,4.623948529102253
257,8362,26617862,361387.16,171550.54,Carpinus betulus,Hornbeam,Hornbeam,Carpinus betulus,0.35,deciduous,103.3591683516621,551.2488978755312,209.73058241465176
972,41167,26650958,361175.9,171349.97,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.9,deciduous,275.05,3117.2333333333336,216.04020667458963
973,41168,26650959,361181.33,171355.1,Acer platanoides,Maple,Norway maple,Acer platanoides,0.88,deciduous,275.05,3117.2333333333336,210.92628783534226
974,41169,26650960,361189.48,171364.16,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.96,deciduous,275.05,3117.2333333333336,202.16620884806184
975,41172,26650963,361198.53,171371.99,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.59,deciduous,275.05,2933.866666666667,195.09321105565093
976,41173,26650964,361209.09,171384.67,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.7000000000000001,deciduous,150.05,1600.5333333333333,183.97596853936372
977,41174,26650965,361200.94,171384.07,Malus - Species Unknown,Apple,Unidentified apple,Malus - Species Unknown,0.18,deciduous,60.05,160.13333333333333,183.3705769745996
978,41175,26650966,361201.84,171388.6,Malus - Species Unknown,Apple,Unidentified apple,Malus - Species Unknown,0.16,deciduous,60.05,160.13333333333333,178.99470830166783
979,41176,26650967,361173.95,171463.31,Robinia pseudoacacia Frisia,Acacia,False acacia cultivar,Robinia pseudoacacia Frisia,0.04,deciduous,1.0875759730351469,0.3356506663466121,102.76983312237294
980,41177,26650968,361196.11,171398.56,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.65,deciduous,275.05,3117.2333333333336,168.41652442679214
981,41178,26650969,361189.05,171420.48,Cedrus atlantica,Cedar,Atlas cedar,Cedrus atlantica,0.07,evergreen,2.383392637206868,2.193200872582487,145.9389355175537
982,41179,26650970,361183.13,171424.51,Prunus sargentii,Cherry,Sargent's cherry,Prunus sargentii,0.24,deciduous,60.05,240.2,141.58296860850677
983,41180,26650971,361184.35,171431.75,Prunus avium,Cherry,Wild cherry,Prunus avium,0.2,deciduous,60.05,240.2,134.4000930059191
984,41181,26650972,361190.37,171434.17,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.68,deciduous,150.05,1400.4666666666667,132.40908503571993
985,41182,26650973,361181.33,171468.42,Fagus sylvatica,Beech,Common beech,Fagus sylvatica,0.6900000000000001,deciduous,275.05,2933.866666666667,97.63680299967635
986,41183,26650974,361173.03,171472.64,Chamaecyparis lawsoniana,Cypress,Lawson's cypress,Chamaecyparis lawsoniana,0.22,evergreen,60.05,240.2,93.49219486137392
987,41184,26650975,361170.92,171470.53,Chamaecyparis lawsoniana,Cypress,Lawson's cypress,Chamaecyparis lawsoniana,0.6,evergreen,60.05,280.2333333333333,95.73216439630127
988,41185,26650976,361167.44,171467.06,Chamaecyparis lawsoniana,Cypress,Lawson's cypress,Chamaecyparis lawsoniana,0.38,evergreen,60.05,280.2333333333333,99.50194570962124
989,41186,26650977,361162.92,171464.04,Chamaecyparis lawsoniana,Cypress,Lawson's cypress,Chamaecyparis lawsoniana,0.36,evergreen,60.05,240.2,103.06914184176965
990,41187,26650978,361151.76,171452.8,Pinus ponderosa,Pine,Ponderosa pine,Pinus ponderosa,0.06,evergreen,1.9603783392251184,0.2480569421703154,116.20145265874325
991,41188,26650979,361161.44,171381.55,Liriodendron tulipifera,Tulip Tree,Tulip tree,Liriodendron tulipifera,0.06,deciduous,2.4152713188738577,4.099666834014899,185.19188994122885
992,41189,26650980,361160.73,171379.33,Paulownia tomentosa,Foxglove Tree,Foxglove tree,Paulownia tomentosa,0.06,deciduous,2.8045902645908924,2.861496001911473,187.46717526011167
993,41190,26650981,361161.86,171354.2,Crataegus - Species Unknown,Hawthorn,Unidentified hawthorn,Crataegus - Species Unknown,0.24,deciduous,10.0,26.666666666666664,212.41407580477224
