,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,CROWN_AREA_COMPLETE,Data Source,tree_group,CROWN_HEIGHT_interpolated
130,26609482,Eugene Street,358778.42,173631.65,358778.42,173631.65,358778.42,173631.65,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.06,3.593896579522947,Original,deciduous,3.5809003675982485
131,26609483,Eugene Street,358769.66,173620.75,358769.66,173620.75,358769.66,173620.75,Betula utilis,Birch,Himalayan birch,Betula utilis,0.32,10.0,Original,deciduous,8.0
391,26609746,The Horsefair,359249.26,173476.59,359249.26,173476.59,359249.26,173476.59,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.5,150.05,Original,deciduous,14.0
392,26609747,The Horsefair,359262.25,173477.53,359262.25,173477.53,359262.25,173477.53,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.4,60.05,Original,deciduous,12.0
393,26609748,The Horsefair,359276.98,173478.16,359276.98,173478.16,359276.98,173478.16,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.4,60.05,Original,deciduous,12.0
394,26609749,The Horsefair,359292.48,173473.61,359292.48,173473.61,359292.48,173473.61,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.45,60.05,Original,deciduous,13.0
395,26609750,The Horsefair,359311.79,173474.07,359311.79,173474.07,359311.79,173474.07,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.18,11.273816250283572,Original,deciduous,9.0
519,26609878,Lower Maudlin Street,358736.57,173486.55,358736.57,173486.55,358736.57,173486.55,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,60.05,Original,deciduous,15.0
520,26609879,Lower Maudlin Street,358751.57,173478.42,358751.57,173478.42,358751.57,173478.42,Alnus cordata,Alder,Italian alder,Alnus cordata,0.43,60.05,Original,deciduous,13.0
521,26609880,Lower Maudlin Street,358870.91,173402.56,358870.91,173402.56,358870.91,173402.56,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.3,60.05,Original,deciduous,7.0
522,26609881,Dove Street South,358866.54,173768.98,358866.54,173768.98,358866.54,173768.98,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,60.05,Original,deciduous,11.0
523,26609882,Dove Street South,358863.71,173766.55,358863.71,173766.55,358863.71,173766.55,Alnus incana,Alder,Grey alder,Alnus incana,0.23,60.05,Original,deciduous,8.0
524,26609883,Dove Street South,358856.52,173759.85,358856.52,173759.85,358856.52,173759.85,Alnus incana,Alder,Grey alder,Alnus incana,0.41,60.05,Original,deciduous,10.0
615,26609974,Campbell Street,359441.34,174079.3,359441.34,174079.3,359441.34,174079.3,Alnus - Species Unknown,Alder,Alder species,Alnus - Species Unknown,0.68,275.05,Original,deciduous,15.0
621,26609980,Kingsdown Parade,358633.46,173790.13,358633.46,173790.13,358633.46,173790.13,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,0.41,60.05,Original,deciduous,8.0
623,26609982,Kingsdown Parade,358634.28,173791.51,358634.28,173791.51,358634.28,173791.51,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.06,1.270951453170266,Original,deciduous,2.558305067441384
742,26610102,Parson Street,357985.12,170493.56,357985.12,170493.56,357985.12,170493.56,Acer platanoides,Maple,Norway maple,Acer platanoides,0.24,60.05,Original,deciduous,7.0
743,26610103,Parson Street,357989.47,170485.29,357989.47,170485.29,357989.47,170485.29,Acer platanoides,Maple,Norway maple,Acer platanoides,0.34,60.05,Original,deciduous,12.0
744,26610104,Parson Street,358037.5,170408.39,358037.5,170408.39,358037.5,170408.39,Liriodendron tulipifera,Tulip Tree,Tulip tree,Liriodendron tulipifera,0.06,2.4152713188738577,Original,deciduous,2.54609086895033
1395,26610765,Trenchard Street,358473.5,173026.95,358473.5,173026.95,358473.5,173026.95,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.54,150.05,Original,deciduous,18.0
1396,26610766,Trenchard Street,358469.53,173024.01,358469.53,173024.01,358469.53,173024.01,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.55,275.05,Original,deciduous,18.0
1397,26610767,Trenchard Street,358382.3,172963.07,358382.3,172963.07,358382.3,172963.07,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.66,275.05,Original,deciduous,17.0
1398,26610768,Trenchard Street,358427.95,172978.88,358427.95,172978.88,358427.95,172978.88,Acer platanoides,Maple,Norway maple,Acer platanoides,0.41,150.05,Original,deciduous,14.0
1399,26610769,Trenchard Street,358422.67,172975.34,358422.67,172975.34,358422.67,172975.34,Acer platanoides,Maple,Norway maple,Acer platanoides,0.33,150.05,Original,deciduous,14.0
1400,26610770,Trenchard Street,358386.45,172964.19,358386.45,172964.19,358386.45,172964.19,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8,528.55,Original,deciduous,21.0
1403,26610773,Trenchard Street,358488.58,173040.21,358488.58,173040.21,358488.58,173040.21,Platanus x acerifolia,,,Platanus x acerifolia,0.65,263.567163990786,Original,other,16.0
1559,26610931,Bloomfield Road,361162.02,171571.83,361162.02,171571.83,361162.02,171571.83,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,10.0,Original,deciduous,8.0
1560,26610932,Bloomfield Road,361173.4,171565.53,361173.4,171565.53,361173.4,171565.53,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,10.0,Original,deciduous,8.0
2110,26611489,Horfield Road,358520.5,173525.13,358520.5,173525.13,358520.5,173525.13,Alnus cordata,Alder,Italian alder,Alnus cordata,0.47,150.05,Original,deciduous,15.0
2111,26611490,Horfield Road,358525.56,173499.36,358525.56,173499.36,358525.56,173499.36,Alnus cordata,Alder,Italian alder,Alnus cordata,0.3,60.05,Original,deciduous,13.0
2112,26611491,Horfield Road,358527.0,173492.2,358527.0,173492.2,358527.0,173492.2,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,150.05,Original,deciduous,15.0
