,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_VOLUME
130,26609482,358778.42,173631.65,Betula pendula,Silver Birch,Silver birch,Betula pendula,0.06,deciduous,8.579590388482538
131,26609483,358769.66,173620.75,Betula utilis,Birch,Himalayan birch,Betula utilis,0.32,deciduous,53.33333333333333
391,26609746,359249.26,173476.59,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.5,deciduous,1400.4666666666667
392,26609747,359262.25,173477.53,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.4,deciduous,480.3999999999999
393,26609748,359276.98,173478.16,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.4,deciduous,480.3999999999999
394,26609749,359292.48,173473.61,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.45,deciduous,520.4333333333333
395,26609750,359311.79,173474.07,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.18,deciduous,67.64289750170143
519,26609878,358736.57,173486.55,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,deciduous,600.5
520,26609879,358751.57,173478.42,Alnus cordata,Alder,Italian alder,Alnus cordata,0.43,deciduous,520.4333333333333
521,26609880,358870.91,173402.56,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.3,deciduous,280.2333333333333
522,26609881,358866.54,173768.98,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,deciduous,440.3666666666666
523,26609882,358863.71,173766.55,Alnus incana,Alder,Grey alder,Alnus incana,0.23,deciduous,320.26666666666665
524,26609883,358856.52,173759.85,Alnus incana,Alder,Grey alder,Alnus incana,0.41,deciduous,400.3333333333333
615,26609974,359441.34,174079.3,Alnus - Species Unknown,Alder,Alder species,Alnus - Species Unknown,0.68,deciduous,2750.5
621,26609980,358633.46,173790.13,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,0.41,deciduous,320.26666666666665
623,26609982,358634.28,173791.51,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.06,deciduous,2.1676543620783213
742,26610102,357985.12,170493.56,Acer platanoides,Maple,Norway maple,Acer platanoides,0.24,deciduous,280.2333333333333
743,26610103,357989.47,170485.29,Acer platanoides,Maple,Norway maple,Acer platanoides,0.34,deciduous,480.3999999999999
744,26610104,358037.5,170408.39,Liriodendron tulipifera,Tulip Tree,Tulip tree,Liriodendron tulipifera,0.06,deciduous,4.099666834014899
1395,26610765,358473.5,173026.95,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.54,deciduous,1800.6
1396,26610766,358469.53,173024.01,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.55,deciduous,3300.6000000000004
1397,26610767,358382.3,172963.07,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.66,deciduous,3117.2333333333336
1398,26610768,358427.95,172978.88,Acer platanoides,Maple,Norway maple,Acer platanoides,0.41,deciduous,1400.4666666666667
1399,26610769,358422.67,172975.34,Acer platanoides,Maple,Norway maple,Acer platanoides,0.33,deciduous,1400.4666666666667
1400,26610770,358386.45,172964.19,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.8,deciduous,7399.699999999999
1403,26610773,358488.58,173040.21,Platanus x acerifolia,Plane,,Platanus x acerifolia,0.65,deciduous,2811.383082568384
1559,26610931,361162.02,171571.83,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,deciduous,53.33333333333333
1560,26610932,361173.4,171565.53,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',0.23,deciduous,53.33333333333333
2110,26611489,358520.5,173525.13,Alnus cordata,Alder,Italian alder,Alnus cordata,0.47,deciduous,1500.5
2111,26611490,358525.56,173499.36,Alnus cordata,Alder,Italian alder,Alnus cordata,0.3,deciduous,520.4333333333333
2112,26611491,358527.0,173492.2,Alnus cordata,Alder,Italian alder,Alnus cordata,0.42,deciduous,1500.5
2113,26611492,358531.73,173468.52,Alnus cordata,Alder,Italian alder,Alnus cordata,0.5,deciduous,1500.5
