OBJECTID,SITE_NAME_radius,X_radius,Y_radius,EXTENT_EASTING_1_radius,EXTENT_NORTHING_1_radius,EXTENT_EASTING_2_radius,EXTENT_NORTHING_2_radius,LATIN_NAME_radius,COMMON_NAME_radius,FULL_COMMON_NAME_radius,TREE_SPECIES_radius,CROWN_WIDTH_radius,CROWN_HEIGHT_radius,DBH_radius,PLANTING_SEASON_radius,CROWN_AREA_MIDPOINT,SENSOR_ID,ASSET_ID,SITE_NAME_full,PLOT_NO,FEATURE_ID,LOCATION,TYPE,PRIM_MEAS,UNIT,SITE_CODE,FEAT_GP,X_full,Y_full,DEAD,CLASSIFICATION,EXTENT_EASTING_1_full,EXTENT_NORTHING_1_full,EXTENT_EASTING_2_full,EXTENT_NORTHING_2_full,LAYERS,LATIN_CODE,LATIN_NAME_full,FEATURE_TYPE_NAME,COMMON_NAME_full,FULL_COMMON_NAME_full,CROWN_HEIGHT_full,CROWN_WIDTH_full,CROWN_AREA,DBH_full,LOCATION_RISK_ZONE,EPICORMIC,INSURANCE_CLAIM_HISTORY,CENTRAL_ASSET_ID,CONTRACT_AREA_NAME,CUSTOMER,DEAD_FLAG,FEATURE_GROUP,FEATURE_GROUP_CODE,FEATURETYPECODE,NOTES,REVISION_NO,TREE_SPECIES_full,TREE_MODIFIED_RISK,CANOPY_SIZE_AT_MATURITY,SPONSORSHIP,SPONSORSHIP_PACKAGE,PLANTING_SEASON_full,PLANTING_FUNDER,PLANTING_NOTES,SPECIES_NOTES,TREE_TYPE,JOBS_REQUIRED,SERVICES_VISIBILITY,CONSTRAINTS,CANCELLATION_REASON,NOTES_FOR_STATUS,CANCELLATION_NOTES,created_user,created_date,last_edited_user,last_edited_date,DBH_clean,CROWN_HEIGHT_clean,tree_group,CROWN_HEIGHT_interpolated,height_imputed_flag,height_model_source,height_model_group
26609482,Eugene Street,358778.42,173631.65,358778.42,173631.65,358778.42,173631.65,Betula pendula,Silver Birch,Silver birch,Betula pendula,,,0.06,Planting Season 19/20,,672,PK00276484,Eugene Street,200001.75,,,PK: Tree - Highways Adopted,1,Number,4523952,TR,358778.42,173631.65,N,RY02,358778.42,173631.65,358778.42,173631.65,,BEPE,Betula pendula,,Silver Birch,Silver birch,No Code Allocated,No Code Allocated,,6 Centimetres,Risk Zone D (5),,No Code Allocated,PK00276484,,,N,,TR,,,,Betula pendula,Risk Zone D (5),Small,Sponsored,,Planting Season 19/20,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,6.0,,deciduous,3.5809003675982485,1.0,species_log,Silver Birch
26609483,Eugene Street,358769.66,173620.75,358769.66,173620.75,358769.66,173620.75,Betula utilis,Birch,Himalayan birch,Betula utilis,9.0,8.0,0.32,Not Applicable,10.0,672,PK00058995,Eugene Street,200002.0,,,PK: Tree - Highways Adopted,1,Number,4523952,TR,358769.66,173620.75,N,RY45,358769.66,173620.75,358769.66,173620.75,,BEUT,Betula utilis,,Birch,Himalayan birch,8 Metres,9 Metres,Up to 20 M2 (New),32 Centimetres,Risk Zone D (5),,No Code Allocated,PK00058995,,,N,,TR,,,,Betula utilis,Risk Zone D (5),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,32.0,8.0,deciduous,8.0,0.0,observed,observed
26609746,The Horsefair,359249.26,173476.59,359249.26,173476.59,359249.26,173476.59,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,14.0,14.0,0.5,Not Applicable,150.05,500,PK00060134,The Horsefair,200003.0,,,PK: Tree - Highways Adopted,1,Number,4527336,TR,359249.26,173476.59,N,RY45,359249.26,173476.59,359249.26,173476.59,,APLV,Acer platanoides cv,,Maple,Norway maple cultivar,14 Metres,14 Metres,100.1 - 200 M2 (New),50 Centimetres,Risk Zone B (3),,No Code Allocated,PK00060134,,,N,,TR,,,,Acer platanoides cv,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,50.0,14.0,deciduous,14.0,0.0,observed,observed
26609747,The Horsefair,359262.25,173477.53,359262.25,173477.53,359262.25,173477.53,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,10.0,12.0,0.4,Not Applicable,60.05,500,PK00060135,The Horsefair,200004.0,,,PK: Tree - Highways Adopted,1,Number,4527336,TR,359262.25,173477.53,N,RY45,359262.25,173477.53,359262.25,173477.53,,APLV,Acer platanoides cv,,Maple,Norway maple cultivar,12 Metres,10 Metres,20.1 - 100 M2 (New),40 Centimetres,Risk Zone B (3),,No Code Allocated,PK00060135,,,N,,TR,,,,Acer platanoides cv,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,40.0,12.0,deciduous,12.0,0.0,observed,observed
26609748,The Horsefair,359276.98,173478.16,359276.98,173478.16,359276.98,173478.16,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,11.0,12.0,0.4,Not Applicable,60.05,500,PK00060136,The Horsefair,200005.0,,,PK: Tree - Highways Adopted,1,Number,4527336,TR,359276.98,173478.16,N,RY45,359276.98,173478.16,359276.98,173478.16,,APLV,Acer platanoides cv,,Maple,Norway maple cultivar,12 Metres,11 Metres,20.1 - 100 M2 (New),40 Centimetres,Risk Zone B (3),,No Code Allocated,PK00060136,,,N,,TR,,,,Acer platanoides cv,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,40.0,12.0,deciduous,12.0,0.0,observed,observed
26609749,The Horsefair,359292.48,173473.61,359292.48,173473.61,359292.48,173473.61,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,12.0,13.0,0.45,Not Applicable,60.05,500,PK00060137,The Horsefair,200006.0,,,PK: Tree - Highways Adopted,1,Number,4527336,TR,359292.48,173473.61,N,RY45,359292.48,173473.61,359292.48,173473.61,,APLV,Acer platanoides cv,,Maple,Norway maple cultivar,13 Metres,12 Metres,20.1 - 100 M2 (New),45 Centimetres,Risk Zone B (3),,No Code Allocated,PK00060137,,,N,,TR,,,,Acer platanoides cv,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,45.0,13.0,deciduous,13.0,0.0,observed,observed
26609750,The Horsefair,359311.79,173474.07,359311.79,173474.07,359311.79,173474.07,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,6.0,9.0,0.18,Not Applicable,,500,PK00292897,The Horsefair,200007.0,,,PK: Tree - Highways Adopted,1,Number,4527336,TR,359311.79,173474.07,N,RY04,359311.79,173474.07,359311.79,173474.07,,GIBI,Ginkgo biloba,,Gingko,Maidenhair tree,9 Metres,6 Metres,,18 Centimetres,Risk Zone B (3),,No Code Allocated,PK00292897,,,N,,TR,,,,Ginkgo biloba,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,18.0,9.0,deciduous,9.0,0.0,observed,observed
26609878,Lower Maudlin Street,358736.57,173486.55,358736.57,173486.55,358736.57,173486.55,Alnus cordata,Alder,Italian alder,Alnus cordata,10.0,15.0,0.42,Not Applicable,60.05,672,PK00054406,Lower Maudlin Street,200001.0,,,PK: Tree - Highways Adopted,1,Number,4531818,TR,358736.57,173486.55,N,RY04,358736.57,173486.55,358736.57,173486.55,,ALCO,Alnus cordata,,Alder,Italian alder,15 Metres,10 Metres,20.1 - 100 M2 (New),42 Centimetres,Risk Zone B (3),,No Code Allocated,PK00054406,,,N,,TR,,,,Alnus cordata,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,42.0,15.0,deciduous,15.0,0.0,observed,observed
26609879,Lower Maudlin Street,358751.57,173478.42,358751.57,173478.42,358751.57,173478.42,Alnus cordata,Alder,Italian alder,Alnus cordata,11.0,13.0,0.43,Not Applicable,60.05,672,PK00054407,Lower Maudlin Street,200002.0,,,PK: Tree - Highways Adopted,1,Number,4531818,TR,358751.57,173478.42,N,RY04,358751.57,173478.42,358751.57,173478.42,,ALCO,Alnus cordata,,Alder,Italian alder,13 Metres,11 Metres,20.1 - 100 M2 (New),43 Centimetres,Risk Zone B (3),,No Code Allocated,PK00054407,,,N,,TR,,,,Alnus cordata,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,43.0,13.0,deciduous,13.0,0.0,observed,observed
26609880,Lower Maudlin Street,358870.91,173402.56,358870.91,173402.56,358870.91,173402.56,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,10.0,7.0,0.3,Not Applicable,60.05,672,PK00054408,Lower Maudlin Street,200003.0,,,PK: Tree - Highways Adopted,1,Number,4531818,TR,358870.91,173402.56,N,RY04,358870.91,173402.56,358870.91,173402.56,,APLV,Acer platanoides cv,,Maple,Norway maple cultivar,7 Metres,10 Metres,20.1 - 100 M2 (New),30 Centimetres,Risk Zone B (3),,No Code Allocated,PK00054408,,,N,,TR,,,,Acer platanoides cv,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,30.0,7.0,deciduous,7.0,0.0,observed,observed
