OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,MIN_CROWN_AREA,MAX_CROWN_AREA,DBH,PLANTING_SEASON
26609351,Dovercourt Road To Muller Road Footpath,359956.4,176260.01,359956.4,176260.01,359956.4,176260.01,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,14.0,15.0,,,,Not Applicable
26609352,Dovercourt Road To Muller Road Footpath,359933.76,176296.56,359933.76,176296.56,359933.76,176296.56,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,,,,,,Not Applicable
26609353,Eastville Roundabout M32 Junction 2,361186.3,175261.56,361186.3,175261.56,361186.3,175261.56,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,1.0,4.0,0.0,20.0,0.07,Planting Season 08/09
26609354,Eastville Roundabout M32 Junction 2,361181.52,175236.67,361181.52,175236.67,361181.52,175236.67,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,1.0,4.0,0.0,20.0,0.06,Planting Season 08/09
26609355,Eastville Roundabout M32 Junction 2,361164.98,175223.73,361164.98,175223.73,361164.98,175223.73,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,,,,,,Not Applicable
26609356,Eastville Roundabout M32 Junction 2,361130.01,175238.29,361130.01,175238.29,361130.01,175238.29,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,4.0,6.0,20.1,100.0,0.1,Planting Season 08/09
26609357,Eastville Roundabout M32 Junction 2,361123.33,175251.64,361123.33,175251.64,361123.33,175251.64,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,3.0,4.0,0.0,20.0,0.08,Planting Season 08/09
26609358,Eastville Roundabout M32 Junction 2,361131.0,175275.82,361131.0,175275.82,361131.0,175275.82,Metasequoia glyptostroboides,Dawn Redwood,Dawn redwood,Metasequoia glyptostroboides,3.0,6.0,0.0,20.0,0.1,Planting Season 08/09
26609359,Bath Bridge Roundabout,359700.0,172163.69,359700.0,172163.69,359700.0,172163.69,Carpinus betulus,Hornbeam,Hornbeam,Carpinus betulus,2.0,3.0,0.0,20.0,0.11,Not Applicable
26609360,Eastville Roundabout M32 Junction 2,361119.24,175245.21,361119.24,175245.21,361119.24,175245.21,Alnus - Species Unknown,Alder,Alder species,Alnus - Species Unknown,4.0,7.0,,,0.12,Not Applicable
26609361,Maunsell Road,354837.44,178640.89,354837.44,178640.89,354837.44,178640.89,Malus - Species Unknown,Apple,Unidentified apple,Malus - Species Unknown,6.0,5.0,20.1,100.0,0.21,Not Applicable
26609362,Maunsell Road,354845.6,178642.92,354845.6,178642.92,354845.6,178642.92,Betula - Species Unknown,Birch,Birch species,Betula - Species Unknown,6.0,7.0,20.1,100.0,0.18,Not Applicable
26609363,Homemead Drive To Subway,361599.84,170383.61,361599.84,170383.61,361599.84,170383.61,Mixed Species Group,,,Mixed Species Group,,,,,,Not Applicable
