COMMON_NAME,count
Lime,6566
Cherry,4587
Maple,3719
Ash,3328
Sycamore,3319
Plane,2838
Oak,2326
Silver Birch,2183
Hawthorn,1683
Apple,1574
Field Maple,1333
Horse Chestnut,1298
Cypress,1109
Alder,1060
Hornbeam,1033
Whitebeam,1002
Rowan,967
Poplar,927
Beech,808
Willow,793
Birch,728
Plum,703
Pear,620
Scots Pine,584
Yew,481
Pine,430
Tulip Tree,371
Elm,346
Gingko,330
Hazel,301
Sweet Chestnut,298
Cedar,276
Holly,276
Sweetgum,271
Sorbus,245
Amelanchier,211
Magnolia,208
Acacia,205
Walnut,177
Box Elder,157
Service Tree,156
Elder,151
Copper Beech,141
Judas Tree,138
Dawn Redwood,133
Larch,131
Redwood,86
Aspen,81
Witch Hazel,76
Foxglove Tree,69
Cotoneaster,60
Ironwood,58
Laburnum,58
Spruce,49
Pride of India,45
Sessile Oak,43
Catalpa,42
Tree of Heaven,42
Southern Beech,41
Honey Locust,36
Eucalyptus,34
Laurel,34
Blackthorn,32
Bristol Whitebeam,29
Weeping Ash,29
Armstrong Canadian Maple ,29
Zelkova,28
Katsura,28
Dogwood,27
Almond,27
Juniper,23
Handkerchief Tree,23
Wingnut,23
Dawyck Beech,22
Cornel,21
Columella Elm,21
Lilac,20
Hop Hornbeam,20
Strawberry Tree,20
Douglas Fir,19
Nettle Tree,18
Privet,18
Paper Mulberry,17
Fir,16
Mulberry,15
Tupelo,15
Downy Birch,14
Cabbage Palm,14
Pagoda Tree,13
Sumach,13
Bay,13
Snowbell,10
Monkey Puzzle,9
Buddleia,8
Chusan Palm,8
Hickory,8
Box,7
Yellowwood,6
Conifer,5
Buckeye,5
Fig,5
Wedding Cake Tree,5
Weeping Beech,5
Viburnam,5
Spindle,5
Medlar,4
Chitalpa,4
Filbert,4
Hiba,3
Hemlock,2
Silverbell,2
Firethorn,2
Hackberry,1
Stewartia,1
Feijoa,1
Pittosporum,1
Eleagnus,1
