COMMON_NAME,TOTAL_COUNT,CROWN_WIDTH_NaN,CROWN_HEIGHT_NaN,DBH_NaN,CROWN_AREA_MIDPOINT_NaN
Lime,6562,345,339,319,859
Cherry,4577,575,561,271,1020
Maple,3711,186,187,88,314
Ash,3323,143,138,297,454
Sycamore,3315,79,81,265,251
Plane,2838,81,83,107,592
Oak,2326,415,399,403,630
Silver Birch,2181,253,238,97,370
Hawthorn,1681,220,219,130,288
Apple,1572,233,229,86,335
Field Maple,1333,259,209,203,400
Horse Chestnut,1293,57,55,79,111
Cypress,1109,31,26,122,71
Alder,1059,85,85,62,142
Hornbeam,1033,204,203,111,329
Whitebeam,999,77,77,44,124
Rowan,966,216,215,97,326
Poplar,925,29,29,63,98
Beech,807,85,75,115,171
Willow,793,65,65,155,157
Birch,728,214,213,58,298
Plum,701,50,51,23,92
Pear,620,179,175,55,232
Scots Pine,584,194,187,112,226
Yew,481,13,12,74,26
Pine,430,61,61,22,104
Tulip Tree,371,141,140,46,181
Elm,346,94,97,49,168
Gingko,330,141,141,42,180
Hazel,301,126,82,100,153
Sweet Chestnut,298,72,59,56,91
Cedar,276,22,22,42,42
Holly,276,14,15,14,24
Sweetgum,271,136,134,39,197
Sorbus,245,12,15,13,22
Amelanchier,211,113,113,60,141
Magnolia,208,101,100,32,133
Acacia,204,9,9,5,20
Walnut,177,59,59,27,70
Box Elder,156,4,6,1,9
Service Tree,156,56,56,12,71
Elder,150,13,13,18,35
Copper Beech,141,24,24,6,37
Judas Tree,138,133,133,8,136
Dawn Redwood,133,49,49,41,77
Larch,130,23,23,12,24
Redwood,86,38,32,36,40
Aspen,81,6,6,6,10
Witch Hazel,76,1,1,0,3
Foxglove Tree,69,63,62,11,67
Cotoneaster,60,4,3,8,8
Ironwood,58,53,53,7,57
Laburnum,58,11,11,11,14
Spruce,49,4,4,1,5
Pride of India,45,39,39,2,40
Sessile Oak,43,36,36,7,39
Catalpa,42,9,9,3,13
Tree of Heaven,42,0,1,1,3
Southern Beech,41,20,20,3,28
Honey Locust,36,4,4,1,6
Eucalyptus,34,0,0,2,4
Laurel,34,0,0,11,6
Blackthorn,32,0,0,2,1
Bristol Whitebeam,29,29,29,0,29
Weeping Ash,29,0,0,0,0
Armstrong Canadian Maple ,29,21,23,1,29
Zelkova,28,13,13,1,17
Katsura,28,20,20,1,23
Dogwood,27,8,8,1,9
Almond,27,0,0,0,0
Juniper,23,1,1,6,1
Handkerchief Tree,23,11,10,3,16
Wingnut,23,14,14,12,14
Dawyck Beech,22,10,10,5,11
Cornel,21,8,7,3,9
Columella Elm,21,21,21,0,21
Lilac,20,14,14,3,14
Hop Hornbeam,20,14,14,2,14
Strawberry Tree,20,13,13,1,14
Douglas Fir,19,5,5,4,6
Nettle Tree,18,16,16,2,18
Privet,18,16,16,0,16
Paper Mulberry,17,4,4,0,4
Fir,16,5,4,1,6
Mulberry,15,4,5,0,6
Tupelo,15,14,14,1,14
Downy Birch,14,13,13,3,13
Cabbage Palm,14,0,0,0,3
Pagoda Tree,13,13,13,6,13
Sumach,13,0,0,4,0
Bay,13,0,0,3,3
Snowbell,10,10,10,0,10
Monkey Puzzle,9,0,0,0,2
Buddleia,8,3,3,3,4
Chusan Palm,8,4,4,2,4
Hickory,8,8,8,0,8
Box,7,0,0,0,0
Yellowwood,6,6,6,3,6
Conifer,5,1,1,2,1
Buckeye,5,1,1,1,2
Fig,5,0,0,1,0
Wedding Cake Tree,5,2,2,2,2
Weeping Beech,5,0,0,0,0
Viburnam,5,1,1,1,1
Spindle,5,2,2,0,2
Medlar,4,0,0,0,1
Chitalpa,4,1,1,0,1
Filbert,4,0,0,0,0
Hiba,3,0,0,0,0
Hemlock,2,1,1,0,1
Silverbell,2,0,0,0,0
Firethorn,2,0,0,0,0
Hackberry,1,1,1,1,1
Stewartia,1,0,0,0,1
Feijoa,1,0,0,0,1
Pittosporum,1,0,0,1,1
Eleagnus,1,0,0,0,0
