COMMON_NAME,CROWN_HEIGHT_interpolated
Acacia,9.653048440567437
Alder,7.85977207447857
Almond,4.555555555555555
Amelanchier,2.6806655516908924
Apple,4.330130735266254
Armstrong Canadian Maple ,1.9167706096385768
Ash,9.831070876401268
Aspen,8.436888957860303
Bay,8.384615384615385
Beech,9.795310512448802
Birch,5.3504375448086074
Blackthorn,5.0625
Box,3.857142857142857
Box Elder,6.9289797258058154
Bristol Whitebeam,1.5304353213581887
Buckeye,7.5
Buddleia,4.2
Cabbage Palm,3.5714285714285716
Catalpa,6.4928261812376835
Cedar,11.70646764026155
Cherry,5.399123586087736
Chitalpa,3.382608830339547
Chusan Palm,4.0040521485162595
Columella Elm,1.5304353213581887
Conifer,5.0
Copper Beech,8.909966487204452
Cornel,4.559130596407456
Cotoneaster,4.959855099401243
Cypress,9.513712112711792
Dawn Redwood,6.084158278314399
Dawyck Beech,8.273657447458291
Dogwood,4.6756845396616855
Douglas Fir,15.780282127350432
Downy Birch,2.2094866557801716
Elder,4.965585624997183
Eleagnus,5.0
Elm,5.411905968023041
Eucalyptus,9.764705882352942
Feijoa,2.0
Field Maple,5.854437352603555
Fig,3.0
Filbert,5.5
Fir,10.55928663110997
Firethorn,4.5
Foxglove Tree,1.772952418075276
Gingko,3.9995793143419904
Hackberry,
Handkerchief Tree,2.9639753605174053
Hawthorn,4.21332676017551
Hazel,4.240392226449598
Hemlock,8.352115955128241
Hiba,4.666666666666667
Hickory,1.5304353213581887
Holly,6.446735549651768
Honey Locust,7.502608741830703
Hop Hornbeam,4.020290214238792
Hornbeam,6.238413072016583
Horse Chestnut,9.073726485413205
Ironwood,1.6572431793005291
Judas Tree,1.6109522502432607
Juniper,4.3349666047937605
Katsura,2.8558721368348454
Laburnum,4.1695653195679325
Larch,7.815049750635217
Laurel,5.823529411764706
Lilac,2.3536235475721257
Lime,10.29383227122248
Magnolia,3.3210700913935356
Maple,9.122731016709226
Medlar,2.25
Monkey Puzzle,5.777777777777778
Mulberry,4.505322945587251
Nettle Tree,1.5266309061884151
Oak,7.856148040157116
Pagoda Tree,1.5304353213581887
Paper Mulberry,2.595396546201927
Pear,4.858922138987373
Pine,9.84954036873871
Pittosporum,3.0
Plane,13.439131897569569
Plum,5.495801083091393
Poplar,14.696237969732298
Pride of India,1.8270985173845722
Privet,2.0826091745406123
Redwood,11.210586738326205
Rowan,4.402923516892326
Scots Pine,5.584430553461881
Service Tree,4.260678802858689
Sessile Oak,2.62173956442743
Silver Birch,8.35355244435835
Silverbell,6.0
Snowbell,1.5304353213581887
Sorbus,5.730959401502195
Southern Beech,4.630133369476501
Spindle,3.505637015045113
Spruce,6.771774033490325
Stewartia,2.0
Strawberry Tree,2.223146968431327
Sumach,4.230769230769231
Sweet Chestnut,5.844791214681721
Sweetgum,3.657099845388339
Sycamore,11.062620185489545
Tree of Heaven,8.130059071947533
Tulip Tree,4.500033388787184
Tupelo,1.3373825672749426
Viburnam,5.5
Walnut,6.122251862484122
Wedding Cake Tree,4.666666666666667
Weeping Ash,7.896551724137931
Weeping Beech,6.2
Whitebeam,6.089363367882502
Willow,9.5383658662485
Wingnut,9.823715512974216
Witch Hazel,7.229717474043254
Yellowwood,1.5304353213581887
Yew,8.248823046263492
Zelkova,5.270845222372009
